,parm_cd,group,parm_nm,epa_equivalence,result_statistical_basis,result_time_basis,result_weight_basis,result_particle_size_basis,result_sample_fraction,result_temperature_basis,CASRN,SRSName,parm_unit
19092,90664,Information,"Acetochlor-d11, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,1189897-44-6, ,%
19093,90665,Information,"Alachlor-d13, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,1015856-63-9, ,%
19094,90666,Information,"Butachlor sulfonic acid, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,187022-12-4, ,%
19095,90667,Information,"Carbaryl-d7, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,362049-56-7, ,%
19096,90668,Information,"Carbendazim-d4, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,291765-95-2, ,%
19097,90669,Information,"Carbofuran-d3 (N-methyl-d3), surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,1007459-98-4, ,%
19098,90670,Information,"Diazinon-d10, surrogate, NWQL schedule 1379, water, filtered, percent recovery",USGS use and no use by EPA,,,,,Dissolved,,100155-47-3, ,%
19099,90671,Information,"cis-Permethrin-13C6, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19100,90672,Information,"Deethylatrazine-d6, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19101,90673,Information,"Diazinon-d10 (diethyl-d10), surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,100155-47-3, ,%
19102,90674,Information,"Diflubenzuron-d4 (4-chlorophenyl-d4), surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19103,90675,Information,"Dimethachlor sulfonic acid, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19104,90676,Information,"Diuron-d6, surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19105,90677,Information,"Hexazinone-d6 (N,N-dimethyl-d6), surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19106,90678,Information,"Linuron-d6 (dimethyl-d6), surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,, , ,%
19107,90679,Information,"Malathion-d10 (diethyl-d10), surrogate, water, polar organic chemical integrative sampler (POCIS), percent recovery",Not checked,,,,,Recoverable,,347841-48-9, ,%
19108,90680,Information,"n-Butyl methyl ether, surrogate, VOC-sim, water, unfiltered, percent recovery",USGS use and no use by EPA,,,,,Total,,628-28-4, ,%
