site_no,datetime,00065,00060,00010,00095,00300,00400,72255,63160,63680,00301,32316
10260500,2024-05-02 03:30:00+00:00,2.34,82.2,15.3,134.0,,8.2,,3026.87,,,
10260500,2024-05-02 03:45:00+00:00,2.34,82.2,15.2,134.0,,8.2,,3026.87,,,
10260500,2024-05-02 04:00:00+00:00,2.34,82.2,15.1,134.0,,8.2,,3026.87,,,
10260500,2024-05-02 04:15:00+00:00,2.34,82.2,15.1,131.0,,8.2,,3026.87,,,
10260500,2024-05-02 04:30:00+00:00,2.34,82.2,15.0,131.0,,8.2,,3026.87,,,
10260500,2024-05-02 04:45:00+00:00,2.34,82.2,14.9,131.0,,8.2,,3026.87,,,
10260500,2024-05-02 05:00:00+00:00,2.34,82.2,14.8,130.0,,8.2,,3026.87,,,
10260500,2024-05-02 05:15:00+00:00,2.34,82.2,14.8,124.0,,8.2,,3026.87,,,
10260500,2024-05-02 05:30:00+00:00,2.34,82.2,14.7,124.0,,8.2,,3026.87,,,
10260500,2024-05-02 05:45:00+00:00,2.34,82.2,14.6,124.0,,8.2,,3026.87,,,
10260500,2024-05-02 06:00:00+00:00,2.34,82.2,14.6,124.0,,8.2,,3026.87,,,
10260500,2024-05-02 06:15:00+00:00,2.33,80.1,14.5,128.0,,8.2,,3026.86,,,
10260500,2024-05-02 06:30:00+00:00,2.33,80.1,14.4,128.0,,8.2,,3026.86,,,
10260500,2024-05-02 06:45:00+00:00,2.33,80.1,14.3,128.0,,8.2,,3026.86,,,
10260500,2024-05-02 07:00:00+00:00,2.33,80.1,14.2,128.0,,8.1,,3026.86,,,
10260500,2024-05-02 07:15:00+00:00,2.33,80.1,14.1,124.0,,8.2,,3026.86,,,
10260500,2024-05-02 07:30:00+00:00,2.33,80.1,14.0,124.0,,8.2,,3026.86,,,
10260500,2024-05-02 07:45:00+00:00,2.33,80.1,14.0,124.0,,8.2,,3026.86,,,
10260500,2024-05-02 08:00:00+00:00,2.33,80.1,13.9,124.0,,8.2,,3026.86,,,
